dt,ssta
16-Jan-2015,1.997142
16-Feb-2015,2.228561
16-Mar-2015,2.201221
16-Apr-2015,1.015369
16-May-2015,0.3401313
16-Jun-2015,1.188624
16-Jul-2015,2.435281
16-Aug-2015,2.860824
16-Sep-2015,2.096469
16-Oct-2015,2.700449
16-Nov-2015,1.173697
16-Dec-2015,1.220711
16-Jan-2016,0.8010085
16-Feb-2016,1.260978
16-Mar-2016,1.519384
16-Apr-2016,1.331406
16-May-2016,0.9336213
16-Jun-2016,0.971655
16-Jul-2016,0.2136853
16-Aug-2016,0.2645624
16-Sep-2016,-0.1324227
16-Oct-2016,0.4821669
16-Nov-2016,1.535953
16-Dec-2016,0.7717939
16-Jan-2017,0.273409
16-Feb-2017,0.728663
16-Mar-2017,0.9189063
16-Apr-2017,0.8571181
16-May-2017,0.2131538
16-Jun-2017,0.9257227
16-Jul-2017,0.3711498
16-Aug-2017,0.9836299
16-Sep-2017,1.484397
16-Oct-2017,0.2048196
16-Nov-2017,1.303976
16-Dec-2017,1.494938
16-Jan-2018,1.104449
16-Feb-2018,0.7354548
16-Mar-2018,0.3611423
16-Apr-2018,0.7780867
16-May-2018,0.5770149
16-Jun-2018,0.1773388
16-Jul-2018,0.9572039
16-Aug-2018,0.1864584
16-Sep-2018,-0.02575683
16-Oct-2018,1.00171
16-Nov-2018,0.9217345
16-Dec-2018,1.382387
16-Jan-2019,0.7839641
16-Feb-2019,0.6459896
16-Mar-2019,0.6617938
16-Apr-2019,1.010741
16-May-2019,1.016698
16-Jun-2019,0.9685816
16-Jul-2019,0.5778024
16-Aug-2019,0.9031547
16-Sep-2019,1.311486
16-Oct-2019,-0.007086882
16-Nov-2019,0.6783016
16-Dec-2019,0.7296923
16-Jan-2020,0.2482328
16-Feb-2020,0.1390481
16-Mar-2020,0.2200828
16-Apr-2020,0.5771167
16-May-2020,1.207736
16-Jun-2020,0.8386101
16-Jul-2020,-0.1349508
16-Aug-2020,0.2363387
16-Sep-2020,1.108447
16-Oct-2020,1.554424
16-Nov-2020,-0.2831835
16-Dec-2020,-0.4912978
16-Jan-2021,-0.367774
16-Feb-2021,-0.4132698
16-Mar-2021,-0.9082555
16-Apr-2021,-0.6592788
16-May-2021,-0.7533598
16-Jun-2021,0.5926517
16-Jul-2021,0.1679392
16-Aug-2021,0.4737411
16-Sep-2021,0.2522838
16-Oct-2021,-0.5414615
16-Nov-2021,0.4364857
16-Dec-2021,0.2796724
16-Jan-2022,0.1746212
16-Feb-2022,0.1167367
16-Mar-2022,-0.2687258
16-Apr-2022,-0.3553871
16-May-2022,-0.5562322
16-Jun-2022,0.197198
16-Jul-2022,0.5664091
16-Aug-2022,0.8116992
16-Sep-2022,1.338341
16-Oct-2022,0.8212739
16-Nov-2022,-0.2141259
16-Dec-2022,-0.08938213
